ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
17135,"Lamb, Veal, and Game Products","Veal, sirloin, separable lean and fat, cooked, braised",No name,No name,No name,252.0,31.26,13.14,0.0,0.0,0.0,0.0,0.35,1.48,0.0,0.41,15.0,6.58,0.35,0.05,17.0,0.128,1.2,27.0,0.035,243.0,14.0,4.32
7913,Sausages and Luncheon Meats,"Salami, pork, beef, less sodium",No name,No name,No name,396.0,15.01,30.5,15.38,6.21,0.2,4.0,0.489,1.76,0.7,0.0,8.0,4.803,0.336,0.738,94.0,0.08800000000000001,1.55,31.0,0.057,272.0,14.6,3.08
9439,Fruits and Fruit Juices,"USDA Commodity pears, canned, juice pack, drained","Commodity codes A437, A434, A431, A433",No name,No name,51.0,0.34,0.19,12.91,8.27,2.2,0.0,0.016,0.0,0.3,0.2,1.0,0.218,0.046,0.02,9.0,0.03,0.34,7.0,0.042,9.0,0.0,0.14
23214,Beef Products,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",No name,No name,No name,245.0,29.36,14.2,0.0,0.0,0.0,7.0,0.483,2.91,0.0,0.1,7.0,6.337999999999999,0.348,0.083,7.0,0.108,2.44,23.0,0.108,168.0,33.3,8.06
6983,"Soups, Sauces, and Gravies","Soup, ramen noodle, chicken flavor, dry",No name,No name,No name,439.0,10.22,17.52,60.23,1.96,2.9,0.0,0.039,0.0,0.0,2.41,0.0,5.5360000000000005,0.254,0.433,22.0,0.128,4.21,25.0,0.625,115.0,24.7,0.59
4025,Fats and Oils,"Salad dressing, mayonnaise, regular",No name,No name,No name,680.0,0.96,74.85,0.57,0.57,0.0,16.0,0.008,0.12,0.0,3.28,5.0,0.0,0.019,0.01,8.0,0.019,0.21,1.0,0.006999999999999999,21.0,2.3,0.15
19024,Snacks,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",No name,No name,No name,466.0,5.8,24.9,63.8,0.0,3.4,7.0,0.1,0.57,0.0,0.0,26.0,0.72,0.25,0.09,103.0,0.35,2.33,66.0,0.93,199.0,0.0,1.3
23186,Beef Products,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, grilled",URMIS #2012,No name,No name,313.0,22.71,24.7,0.0,0.0,0.0,8.0,0.45,2.0,0.0,0.1,6.0,4.752,0.29600000000000004,0.085,22.0,0.073,2.29,22.0,0.073,156.0,23.7,5.07
15189,Finfish and Shellfish Products,"Fish, bluefish, cooked, dry heat",No name,No name,No name,159.0,25.69,5.44,0.0,0.0,0.0,138.0,0.464,6.22,0.0,0.0,2.0,7.247000000000001,0.097,0.067,9.0,0.068,0.62,42.0,0.027000000000000003,291.0,46.8,1.04
16121,Legumes and Legume Products,"Soy protein concentrate, produced by alcohol extraction",No name,No name,No name,331.0,58.13,0.46,30.91,20.0,5.5,0.0,0.134,0.0,0.0,0.0,340.0,0.716,0.142,0.316,363.0,0.976,10.78,315.0,4.19,839.0,0.8,4.4
17074,"Lamb, Veal, and Game Products","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, raw",No name,No name,No name,126.0,21.1,4.64,0.0,0.0,0.0,3.0,0.13699999999999998,1.64,0.0,0.14,0.0,5.2410000000000005,0.173,0.175,11.0,0.119,1.64,24.0,0.008,198.0,3.2,3.16
1253,Dairy and Egg Products,"Cheese, pasteurized process, American, without added vitamin D",No name,No name,No name,371.0,18.13,31.79,3.7,2.26,0.0,250.0,0.054000000000000006,1.5,0.0,0.8,8.0,0.076,0.234,0.015,1045.0,0.046,0.63,26.0,0.041,641.0,20.2,2.49
17051,"Lamb, Veal, and Game Products","Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1/4"" fat, choice, raw",No name,No name,No name,259.0,16.63,20.86,0.0,0.0,0.0,0.0,0.14,2.59,0.0,0.22,19.0,5.43,0.2,0.11,17.0,0.096,1.48,21.0,0.02,160.0,19.2,4.28
7029,Sausages and Luncheon Meats,"Ham, sliced, regular (approximately 11% fat)",No name,No name,No name,163.0,16.6,8.6,3.83,0.0,1.3,0.0,0.329,0.42,4.0,0.08,7.0,2.904,0.17800000000000002,0.626,24.0,0.08900000000000001,1.02,22.0,0.557,153.0,20.7,1.35
19708,Sweets,"Puddings, lemon, dry mix, regular, with added oil, potassium, sodium",No name,No name,No name,366.0,0.1,1.5,90.3,0.0,0.1,0.0,0.005,0.0,0.0,0.0,0.0,0.019,0.024,0.005,0.0,0.024,0.17,4.0,0.025,3.0,0.7,0.02
